anio,modulo,hoja_excel,categoria_original,categoria_homologada_fina,categoria_homologada_agregada,regla_homologacion,nivel_territorial,territorio_padre,huelgas,pct_huelgas,trabajadores_comprendidos,pct_trabajadores,horas_hombre_perdidas,pct_horas,flag_hhp_arrastre,flag_faltante_fuente,flag_paro_nacional_registrado_lima,nota_fuente,archivo_homologado,carpeta_bloque,tipo_anio
2019,territorio,C-5,LA OROYA,la_oroya,la_oroya,LA OROYA -> zona; region_madre=junin,zona,junin,3.0,,1129.0,,63272.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo
2019,territorio,C-5,LAMBAYEQUE,lambayeque,lambayeque,LAMBAYEQUE -> region homologada lambayeque,regional,lambayeque,20.0,,10655.0,,108880.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo
2019,territorio,C-5,LIMA METROPOLITANA,lima_metropolitana,lima_metropolitana,LIMA METROPOLITANA -> region homologada lima_metropolitana,regional,lima_metropolitana,27.0,,90315.0,,1262168.0,,0,0,1,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo
2019,territorio,C-5,LIMA METROPOLITANA,lima_metropolitana,lima_metropolitana,LIMA METROPOLITANA -> zona con mismo nombre que la region; region_madre=lima_metropolitana,zona,lima_metropolitana,27.0,,90315.0,,1262168.0,,0,0,1,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo
2019,territorio,C-5,LIMA,lima_provincia,lima_provincia,LIMA -> region homologada lima_provincia,regional,lima_provincia,4.0,,2209.0,,341664.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo
2019,territorio,C-5,PASCO,pasco,pasco,PASCO -> region homologada pasco,regional,pasco,1.0,,319.0,,15312.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo
2019,territorio,C-5,PIURA,piura,piura,PIURA -> region homologada piura,regional,piura,1.0,,465.0,,22320.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo
2019,territorio,C-5,PIURA,piura,piura,PIURA -> zona con mismo nombre que la region; region_madre=piura,zona,piura,1.0,,465.0,,22320.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo
2019,territorio,C-5,PUCALLPA,pucallpa,pucallpa,PUCALLPA -> zona; region_madre=ucayali,zona,ucayali,1.0,,150.0,,29496.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo
2019,territorio,C-5,PUNO,puno,puno,PUNO -> region homologada puno,regional,puno,1.0,,948.0,,7584.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo
