anio,categoria_homologada_agregada,huelgas,trabajadores_comprendidos,horas_hombre_perdidas
2016,huancavelica,0.0,213.0,54528.0
2016,ica,1.0,840.0,168000.0
2016,junin,7.0,1963.0,127592.0
2016,la_libertad,4.0,3547.0,1033200.0
2016,lambayeque,5.0,2095.0,171240.0
2016,lima_metropolitana,17.0,8218.0,980520.0
2016,lima_provincia,2.0,685.0,6640.0
2016,loreto,0.0,289.0,82672.0
2016,moquegua,0.0,155.0,39680.0
2016,pasco,1.0,365.0,30224.0
2016,piura,2.0,357.0,46512.0
2016,tacna,0.0,172.0,43920.0
2016,tumbes,0.0,216.0,60576.0
2016,ucayali,0.0,158.0,44160.0
2017,ancash,1.0,225.0,1800.0
2017,apurimac,0.0,0.0,4488.0
2017,arequipa,4.0,1310.0,277776.0
2017,ayacucho,0.0,0.0,3000.0
2017,cusco,2.0,685.0,5480.0
2017,huancavelica,1.0,320.0,25592.0
2017,ica,2.0,979.0,158216.0
2017,junin,2.0,664.0,18592.0
2017,la_libertad,1.0,45.0,1800.0
2017,lambayeque,1.0,672.0,5376.0
2017,lima_metropolitana,25.0,47950.0,2022846.0
2017,lima_provincia,1.0,250.0,16000.0
2017,loreto,0.0,0.0,6936.0
2017,moquegua,1.0,3000.0,411720.0
2017,pasco,2.0,405.0,23160.0
2017,piura,2.0,105.0,4920.0
2017,tacna,0.0,0.0,4128.0
2017,tumbes,0.0,0.0,5184.0
2017,ucayali,0.0,0.0,3792.0
2018,ancash,1.0,492.0,3712.0
2018,arequipa,4.0,2862.0,44200.0
2018,ayacucho,1.0,406.0,39272.0
2018,cajamarca,1.0,204.0,3654.0
2018,callao,1.0,1408.0,10270.0
2018,cusco,1.0,181.0,14348.0
2018,huancavelica,1.0,586.0,42192.0
2018,huanuco,0.0,206.0,1386.0
2018,ica,2.0,1154.0,118804.0
2018,junin,0.0,329.0,1974.0
2018,la_libertad,2.0,586.0,38624.0
2018,lambayeque,3.0,1115.0,39886.0
2018,lima_metropolitana,25.0,8924.0,177162.0
2018,lima_provincia,5.0,1350.0,115800.0
2018,loreto,0.0,45.0,540.0
2018,moquegua,0.0,64.0,384.0
2018,pasco,3.0,669.0,62616.0
2018,piura,1.0,226.0,1892.0
2018,puno,1.0,165.0,990.0
2018,san_martin,0.0,20.0,240.0
2018,tacna,0.0,157.0,1884.0
2018,tumbes,1.0,80.0,1220.0
2018,ucayali,1.0,267.0,17814.0
2019,arequipa,2.0,231.0,7888.0
2019,callao,1.0,975.0,15600.0
2019,cusco,1.0,177.0,2832.0
2019,huancavelica,1.0,571.0,31976.0
2019,ica,2.0,969.0,119816.0
2019,junin,3.0,1129.0,63272.0
2019,la_libertad,1.0,989.0,55384.0
2019,lambayeque,20.0,10655.0,108880.0
2019,lima_metropolitana,27.0,90315.0,1262168.0
2019,lima_provincia,4.0,2209.0,341664.0
2019,pasco,1.0,319.0,15312.0
2019,piura,1.0,465.0,22320.0
2019,puno,1.0,948.0,7584.0
2019,tumbes,1.0,52.0,1664.0
2019,ucayali,1.0,150.0,29496.0
2020,huanuco,1.0,187.0,13464.0
2020,junin,2.0,309.0,24400.0
2020,lambayeque,3.0,2567.0,126856.0
2020,lima_metropolitana,12.0,123545.0,3457176.0
2020,lima_provincia,2.0,878.0,21072.0
2020,pasco,1.0,189.0,4536.0
2020,san_martin,1.0,31.0,496.0
2020,ucayali,1.0,162.0,5184.0
2021,apurimac,1.0,72.0,36288.0
2021,arequipa,2.0,434.0,62496.0
2021,huanuco,1.0,143.0,13728.0
2021,ica,2.0,1562.0,187440.0
2021,junin,5.0,1224.0,68824.0
2021,lima_metropolitana,18.0,203333.0,2594288.0
2021,lima_provincia,3.0,1246.0,24760.0
2021,loreto,1.0,75.0,6000.0
2021,moquegua,1.0,30.0,480.0
2021,pasco,2.0,590.0,12064.0
2021,tumbes,1.0,350.0,5600.0
2021,ucayali,1.0,83.0,15272.0
2022,ancash,2.0,1300.0,59500.0
2022,ica,3.0,670.0,142576.0
2022,junin,3.0,1035.0,94960.0
2022,la_libertad,2.0,161.0,10584.0
2022,lima_metropolitana,26.0,24282.0,1758896.0
2022,lima_provincia,2.0,1168.0,45680.0
2022,loreto,1.0,284.0,6816.0
2022,san_martin,1.0,76.0,1216.0
2022,ucayali,1.0,169.0,2704.0
2023,ancash,1.0,38.0,4256.0
2023,apurimac,3.0,1314.0,21024.0
2023,arequipa,1.0,23.0,2944.0
2023,ayacucho,1.0,104.0,832.0
2023,cajamarca,3.0,146.0,28648.0
2023,callao,1.0,270.0,4320.0
2023,ica,2.0,1167.0,76849.0
2023,lambayeque,1.0,200.0,3200.0
2023,lima_metropolitana,38.0,74320.0,1311672.0
2023,lima_provincia,2.0,77.0,5192.0
2023,moquegua,1.0,160.0,2560.0
2023,ucayali,1.0,64.0,512.0
2024,ancash,2.0,126.0,1136.0
2024,apurimac,1.0,25.0,1200.0
2024,arequipa,2.0,147.0,1176.0
2024,cajamarca,6.0,2725.0,39032.0
2024,ica,2.0,287.0,15928.0
2024,junin,1.0,50.0,14800.0
2024,lima_metropolitana,42.0,72555.0,2158020.0
2024,lima_provincia,2.0,122.0,37088.0
2024,pasco,3.0,521.0,8912.0
2024,tumbes,2.0,146.0,18224.0
