anio,modulo,hoja_excel,metrica,total_extraido,total_fuente,diferencia,estado,archivo_homologado,carpeta_bloque
2000,calificacion,C-7,horas_hombre_perdidas,181691.0,181691.0,0.0,ok,huelgas_2000_homologado.xlsx,era2_homologados_2000_2003
2000,calificacion,C-7,huelgas,37.0,37.0,0.0,ok,huelgas_2000_homologado.xlsx,era2_homologados_2000_2003
2000,calificacion,C-7,trabajadores_comprendidos,5280.0,5280.0,0.0,ok,huelgas_2000_homologado.xlsx,era2_homologados_2000_2003
2001,calificacion,C-7,horas_hombre_perdidas,488930.0,488930.0,0.0,ok,huelgas_2001_homologado.xlsx,era2_homologados_2000_2003
2001,calificacion,C-7,huelgas,40.0,40.0,0.0,ok,huelgas_2001_homologado.xlsx,era2_homologados_2000_2003
2001,calificacion,C-7,trabajadores_comprendidos,11050.0,11050.0,0.0,ok,huelgas_2001_homologado.xlsx,era2_homologados_2000_2003
2002,calificacion,C-7,horas_hombre_perdidas,912648.0,912648.0,0.0,ok,huelgas_2002_homologado.xlsx,era2_homologados_2000_2003
2002,calificacion,C-7,huelgas,64.0,64.0,0.0,ok,huelgas_2002_homologado.xlsx,era2_homologados_2000_2003
2002,calificacion,C-7,trabajadores_comprendidos,22925.0,22925.0,0.0,ok,huelgas_2002_homologado.xlsx,era2_homologados_2000_2003
2003,calificacion,C-7,horas_hombre_perdidas,881362.0,881362.0,0.0,ok,huelgas_2003_homologado.xlsx,era2_homologados_2000_2003
2003,calificacion,C-7,huelgas,68.0,68.0,0.0,ok,huelgas_2003_homologado.xlsx,era2_homologados_2000_2003
2003,calificacion,C-7,trabajadores_comprendidos,37323.0,37323.0,0.0,ok,huelgas_2003_homologado.xlsx,era2_homologados_2000_2003
2004,calificacion,C-7,horas_hombre_perdidas,582328.0,582328.0,0.0,ok,huelgas_2004_homologado.xlsx,era2_homologados_2004_2020
2004,calificacion,C-7,huelgas,107.0,107.0,0.0,ok,huelgas_2004_homologado.xlsx,era2_homologados_2004_2020
2004,calificacion,C-7,trabajadores_comprendidos,29273.0,29273.0,0.0,ok,huelgas_2004_homologado.xlsx,era2_homologados_2004_2020
2005,calificacion,C-7,horas_hombre_perdidas,478738.0,478738.0,0.0,ok,huelgas_2005_homologado.xlsx,era2_homologados_2004_2020
2005,calificacion,C-7,huelgas,65.0,65.0,0.0,ok,huelgas_2005_homologado.xlsx,era2_homologados_2004_2020
