anio,modulo,hoja_excel,categoria_original,categoria_homologada_fina,categoria_homologada_agregada,regla_homologacion,nivel_territorial,territorio_padre,huelgas,pct_huelgas,trabajadores_comprendidos,pct_trabajadores,horas_hombre_perdidas,pct_horas,flag_hhp_arrastre,flag_faltante_fuente,flag_paro_nacional_registrado_lima,nota_fuente,archivo_homologado,carpeta_bloque,tipo_anio
2016,calificacion,C-7,PROCEDENTE,procedente,procedente,procedente -> procedente,,,3.0,,1345.0,,244680.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO / OGETIC / OFICINA DE ESTADÍSTICA,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020,completo
2017,calificacion,C-7,IMPROCEDENTE - ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,39.0,,54754.0,,2792102.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO / OGETIC / OFICINA DE ESTADÍSTICA,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020,completo
2017,calificacion,C-7,PROCEDENTE,procedente,procedente,procedente -> procedente,,,6.0,,1856.0,,214392.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO / OGETIC / OFICINA DE ESTADÍSTICA,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020,completo
2018,calificacion,C-7,IMPROCEDENTE - ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,46.0,,18710.0,,470238.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO / OGETIC / OFICINA DE ESTADÍSTICA,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020,completo
2018,calificacion,C-7,PROCEDENTE,procedente,procedente,procedente -> procedente,,,8.0,,2786.0,,268626.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO / OGETIC / OFICINA DE ESTADÍSTICA,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020,completo
2019,calificacion,C-7,IMPROCEDENTE - ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,65.0,,109210.0,,1952544.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo
2019,calificacion,C-7,PROCEDENTE,procedente,procedente,procedente -> procedente,,,2.0,,944.0,,133312.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO | ELABORADO : OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo
2020,calificacion,C-7,IMPROCEDENTE - ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,23.0,,127868.0,,3653184.0,,0,1,0,"FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO - MTPE | ELABORACIÓN : MTPE - OGETIC - OFICINA DE ESTADÍSTICA | NOTA: No se dispone de información debido a que el gobierno decretó el Estado de Emergencia Nacional, mediante D.S. N° 044-2020 - PCM, D.S. N° 008-2020 SA que declara en Emergencia Sanitaria a Nivel Nacional y posteriores normas de ampliaciones y modificatorias.",huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo
2020,calificacion,C-7,PROCEDENTE,procedente,procedente,procedente -> procedente,,,0.0,,0.0,,0.0,,0,1,0,"FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO - MTPE | ELABORACIÓN : MTPE - OGETIC - OFICINA DE ESTADÍSTICA | NOTA: No se dispone de información debido a que el gobierno decretó el Estado de Emergencia Nacional, mediante D.S. N° 044-2020 - PCM, D.S. N° 008-2020 SA que declara en Emergencia Sanitaria a Nivel Nacional y posteriores normas de ampliaciones y modificatorias.",huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo
2021,calificacion,C-88,IMPROCEDENTE - ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,22.0,,204005.0,,2498776.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO - MTPE | DGT - DIRECCIÓN DE PREVENSIÓN Y SOLUCIÓN DE CONFLICTOS Y RESPONSABILIDAD SOCIAL EMPRESARIAL LABORAL | ELABORACIÓN : MTPE - OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2021_homologado.xlsx,era3_homologados,completo
2021,calificacion,C-88,PROCEDENTE,procedente,procedente,procedente -> procedente,,,16.0,,5137.0,,528464.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO - MTPE | DGT - DIRECCIÓN DE PREVENSIÓN Y SOLUCIÓN DE CONFLICTOS Y RESPONSABILIDAD SOCIAL EMPRESARIAL LABORAL | ELABORACIÓN : MTPE - OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2021_homologado.xlsx,era3_homologados,completo
2022,calificacion,C-97,IMPROCEDENTE - ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,31.0,,27661.0,,1794532.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO - MTPE | DGT - DIRECCIÓN DE PREVENCIÓN Y SOLUCIÓN DE CONFLICTOS Y RESPONSABILIDAD SOCIAL EMPRESARIAL LABORAL | ELABORACIÓN : MTPE - OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2022_homologado.xlsx,era3_homologados,completo
2022,calificacion,C-97,PROCEDENTE,procedente,procedente,procedente -> procedente,,,10.0,,1484.0,,328400.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO - MTPE | DGT - DIRECCIÓN DE PREVENCIÓN Y SOLUCIÓN DE CONFLICTOS Y RESPONSABILIDAD SOCIAL EMPRESARIAL LABORAL | ELABORACIÓN : MTPE - OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2022_homologado.xlsx,era3_homologados,completo
2023,calificacion,C-98,IMPROCEDENTE - ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,42.0,,76276.0,,1353056.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO - MTPE | DGT - DIRECCIÓN DE PREVENCIÓN Y SOLUCIÓN DE CONFLICTOS Y RESPONSABILIDAD SOCIAL EMPRESARIAL LABORAL | ELABORACIÓN : MTPE - OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2023_homologado.xlsx,era3_homologados,completo
2023,calificacion,C-98,PROCEDENTE,procedente,procedente,procedente -> procedente,,,13.0,,1607.0,,108953.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO - MTPE | DGT - DIRECCIÓN DE PREVENCIÓN Y SOLUCIÓN DE CONFLICTOS Y RESPONSABILIDAD SOCIAL EMPRESARIAL LABORAL | ELABORACIÓN : MTPE - OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2023_homologado.xlsx,era3_homologados,completo
2024,calificacion,C-98,IMPROCEDENTE - ILEGALIDAD,ilegal,ilegal,improcedente/ilegalidad -> ilegal,,,47.0,,74750.0,,2130660.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO - MTPE | DGT - DIRECCIÓN DE PREVENCIÓN Y SOLUCIÓN DE CONFLICTOS Y RESPONSABILIDAD SOCIAL EMPRESARIAL LABORAL | ELABORACIÓN : MTPE - OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2024_homologado.xlsx,era3_homologados,completo
2024,calificacion,C-98,PROCEDENTE,procedente,procedente,procedente -> procedente,,,16.0,,1954.0,,164856.0,,0,0,0,FUENTE : MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO - MTPE | DGT - DIRECCIÓN DE PREVENCIÓN Y SOLUCIÓN DE CONFLICTOS Y RESPONSABILIDAD SOCIAL EMPRESARIAL LABORAL | ELABORACIÓN : MTPE - OGETIC - OFICINA DE ESTADÍSTICA,huelgas_2024_homologado.xlsx,era3_homologados,completo
