anio,archivo_homologado,carpeta_bloque,tipo_anio,modulo,filas_modulo,modulo_con_datos,estados_validacion,modulo_no_disponible_fuente
2008,huelgas_2008_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,6,1,ok,0
2008,huelgas_2008_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,7,1,ok,0
2008,huelgas_2008_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,5,1,ok,0
2008,huelgas_2008_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,35,1,estructura_mixta,0
2009,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,10,1,ok,0
2009,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2009,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2009,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,6,1,ok,0
2009,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,5,1,ok,0
2009,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,5,1,ok,0
2009,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,36,1,estructura_mixta,0
2010,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,10,1,ok,0
2010,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2010,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2010,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,6,1,ok,0
2010,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,5,1,ok,0
2010,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,5,1,ok,0
2010,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,51,1,estructura_mixta,0
2011,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,12,1,ok,0
2011,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2011,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2011,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,6,1,ok,0
2011,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,5,1,ok,0
2011,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,5,1,ok,0
2011,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,41,1,estructura_mixta,0
2012,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,14,1,ok,0
2012,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2012,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2012,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,8,1,ok,0
2012,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,7,1,ok,0
2012,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,5,1,ok,0
2012,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,75,1,estructura_mixta,0
2013,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,13,1,ok,0
2013,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2013,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2013,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,8,1,ok,0
2013,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,7,1,ok,0
2013,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,5,1,ok,0
2013,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,62,1,estructura_mixta,0
2014,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,13,1,ok,0
2014,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2014,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2014,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,8,1,ok,0
2014,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,5,1,ok,0
2014,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,8,1,ok,0
2014,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,47,1,estructura_mixta,0
2015,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,10,1,ok,0
2015,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2015,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2015,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,8,1,ok,0
2015,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,4,1,ok,0
2015,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,8,1,ok,0
2015,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,29,1,estructura_mixta,0
2016,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,9,1,ok,0
2016,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2016,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2016,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,8,1,ok,0
2016,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,4,1,ok,0
2016,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,8,1,ok,0
2016,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,40,1,estructura_mixta,0
