anio,categoria_homologada_agregada,huelgas,trabajadores_comprendidos,horas_hombre_perdidas
2013,otros_servicios,2.0,76.0,2016.0
2013,salud_social,3.0,1567.0,62952.0
2013,transporte,8.0,847.0,18008.0
2014,adm_publica,5.0,6359.0,684648.0
2014,agricultura,3.0,556.0,15552.0
2014,comercio,5.0,1582.0,23040.0
2014,construccion,2.0,1108.0,21952.0
2014,electricidad_agua,1.0,377.0,6032.0
2014,ensenanza,1.0,245.0,7840.0
2014,financiero,5.0,2651.0,40680.0
2014,inmobiliario,1.0,100.0,2400.0
2014,manufactura,32.0,7766.0,367688.0
2014,mineria,32.0,14748.0,1170064.0
2014,otros_servicios,0.0,0.0,0.0
2014,salud_social,5.0,3913.0,534996.0
2014,transporte,3.0,1276.0,278126.0
2015,adm_publica,7.0,12395.0,325920.0
2015,agricultura,1.0,0.0,0.0
2015,comercio,3.0,850.0,30960.0
2015,electricidad_agua,3.0,165.0,1320.0
2015,ensenanza,2.0,256.0,2352.0
2015,manufactura,11.0,5425.0,159192.0
2015,mineria,11.0,11173.0,1176912.0
2015,otros_servicios,2.0,156.0,18768.0
2015,pesca,2.0,96.0,768.0
2015,transporte,5.0,1550.0,209440.0
2016,adm_publica,6.0,7843.0,1437200.0
2016,agricultura,2.0,440.0,7280.0
2016,comercio,1.0,52.0,8416.0
2016,ensenanza,1.0,615.0,24600.0
2016,inmobiliario,2.0,430.0,12320.0
2016,manufactura,12.0,5321.0,1045240.0
2016,mineria,14.0,5565.0,544312.0
2016,otros_servicios,2.0,106.0,3232.0
2016,salud_social,1.0,91.0,1456.0
2017,adm_publica,12.0,35105.0,1843538.0
2017,agricultura,1.0,171.0,2736.0
2017,comercio,1.0,68.0,1088.0
2017,ensenanza,3.0,916.0,9088.0
2017,financiero,3.0,399.0,6936.0
2017,manufactura,8.0,1794.0,89880.0
2017,mineria,14.0,8643.0,991464.0
2017,otros_servicios,1.0,315.0,5040.0
2017,salud_social,1.0,9154.0,54924.0
2017,transporte,1.0,45.0,1800.0
2018,adm_publica,15.0,2637.0,76004.0
2018,comercio,3.0,1048.0,40608.0
2018,construccion,2.0,250.0,2000.0
2018,financiero,1.0,808.0,12928.0
2018,inmobiliario,3.0,344.0,10760.0
2018,manufactura,6.0,1270.0,85888.0
2018,mineria,14.0,4531.0,425512.0
2018,salud_social,8.0,10418.0,75884.0
2018,transporte,2.0,190.0,9280.0
2019,adm_publica,25.0,85337.0,1048128.0
2019,comercio,3.0,1066.0,12128.0
2019,construccion,1.0,200.0,6400.0
2019,electricidad_agua,2.0,2830.0,22640.0
2019,inmobiliario,1.0,1038.0,58128.0
2019,manufactura,10.0,5417.0,72424.0
2019,mineria,18.0,12403.0,823176.0
2019,otros_servicios,1.0,262.0,20960.0
2019,salud_social,2.0,134.0,1944.0
2019,transporte,4.0,1467.0,19928.0
2020,adm_publica,8.0,97980.0,3076408.0
2020,ensenanza,1.0,700.0,5600.0
2020,financiero,2.0,3271.0,26168.0
2020,manufactura,2.0,2459.0,128624.0
2020,mineria,6.0,1563.0,63472.0
2020,salud_social,3.0,21663.0,349200.0
2020,transporte,1.0,232.0,3712.0
2021,adm_publica,8.0,195370.0,2330808.0
2021,agricultura,1.0,298.0,4768.0
2021,comercio,1.0,115.0,1840.0
2021,ensenanza,1.0,72.0,36288.0
2021,manufactura,9.0,2435.0,200960.0
2021,mineria,15.0,5268.0,403056.0
2021,salud_social,1.0,5000.0,30000.0
2021,transporte,2.0,584.0,19520.0
2022,adm_publica,16.0,23189.0,1097324.0
2022,agricultura,1.0,20.0,7200.0
2022,comercio,2.0,143.0,5176.0
2022,construccion,1.0,0.0,0.0
2022,electricidad_agua,1.0,169.0,2704.0
2022,financiero,2.0,192.0,1536.0
2022,manufactura,8.0,899.0,222064.0
2022,mineria,7.0,2802.0,255952.0
2022,otros_servicios,1.0,55.0,1760.0
2022,salud_social,1.0,1600.0,528000.0
2022,transporte,1.0,76.0,1216.0
2023,adm_publica,23.0,60332.0,1090288.0
2023,agricultura,2.0,313.0,11672.0
2023,comercio,3.0,712.0,18064.0
2023,electricidad_agua,2.0,10064.0,80512.0
2023,ensenanza,3.0,146.0,28648.0
2023,financiero,2.0,1400.0,12320.0
2023,manufactura,7.0,1378.0,72912.0
2023,mineria,10.0,2965.0,134777.0
2023,salud_social,1.0,38.0,4256.0
2023,transporte,2.0,535.0,8560.0
2024,adm_publica,33.0,47178.0,1950976.0
2024,agricultura,0.0,0.0,28144.0
2024,comercio,1.0,390.0,6240.0
2024,construccion,2.0,421.0,4912.0
2024,electricidad_agua,1.0,5000.0,40000.0
2024,ensenanza,1.0,16.0,256.0
2024,financiero,3.0,2720.0,21760.0
2024,manufactura,6.0,487.0,80480.0
2024,mineria,7.0,818.0,56664.0
2024,otros_servicios,1.0,500.0,4000.0
2024,salud_social,8.0,19174.0,102084.0
